title,metadataStatus,ingestStatus,status,project,sqlVolume,libServerDirectory,primaryIslandoraLocation,secondaryIslandoraLocation,pid,essss,images,ingestDate,latestMetadataUpdate,modified,lastModifiedBadFormat,notes
"Irmandade de Nossa Senhora da Conceição, Igreja Nossa Senhora da Piedade do Inhomorim, sêculo XIX",Metadata uploaded,Ingested,Ingested with passable metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\Irmandades\N. S. Conceicao - Mage\N. S. Conceicao 001.1,ESSSS/Brazil/Rio de Janeiro/Magé/Nossa Senhora da Piedade de Inhomorim,,essss:2946,2946,63,08/17/17,8/29/17,2017-08-29T00:00:00Z,8/29/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o, more info about volume needed?"
"Compromisso da Irmandade de São Miguel e Almas da cidade de Magé, 1862",Metadata uploaded,Ingested,Ingested with passable metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\Irmandades\S. Miguel e Almas - Mage\Miguel e Almas 001.1,ESSSS/Brazil/Rio de Janeiro/Magé/Irmandade de São Miguel e Almas,,essss:38455,38455,34,09/15/17,9/18/17,2017-09-18T00:00:00Z,9/18/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o, abstract needed?"
Libro de Venta de Esclavo,Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_001,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:56975,56975,495,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escrituras (1813),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_002,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:50483,50483,323,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escrituras y Venta (1814),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_003,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:50809,50809,335,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escrituras (1815),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_004,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:69055,69055,347,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escrituras (1818),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_005,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:51145,51145,271,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escrituras (1819),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_006,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:69571,69571,262,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escrituras (1827),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_007,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:70306,70306,155,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escrituras (1828),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_008,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:51418,51418,485,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Venta de Esclavo (1831),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_009,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:69834,69834,471,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Notaría Libro (1832),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_010,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:71711,71711,307,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Documentos Varios (1833),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_011,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:51904,51904,380,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escrituras y Demas Instrumentos Públicos (1834),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_012,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:52285,52285,293,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escrituras (1835),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_013,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:70462,70462,879,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1836),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_014,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:52978,52978,109,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Poder General (1838),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_015,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:52579,52579,398,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1839),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_016,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:53359,53359,468,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1840),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_017,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:71342,71342,368,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1841),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_018,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:54132,54132,616,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1842),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_019,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:74691,74691,297,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1844),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_020,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:53088,53088,369,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1845),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_021,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:54694,54694,340,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1846),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_022,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:74257,74257,253,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1847),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_023,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:53828,53828,303,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1848),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_024,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:55620,55620,477,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1850),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_025,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:56017,56017,298,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1852),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_026,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:74511,74511,179,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1853),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_027,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:76917,76917,355,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1854),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_028,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:56778,56778,494,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Instrumentos Públicos (1855),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_029,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:139467,139467,275,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1856),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_030,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:56315,56315,461,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1857),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_031,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:76617,76617,299,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1858),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_032,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:82894,82894,277,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1859),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_033,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:82478,82478,205,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1860),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_034,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:82684,82684,209,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura y Poderes Especiales (1861),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_035,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:84717,84717,336,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura y Poderes Especiales (1862),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_036,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:84469,84469,247,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura e Instrumentos Públicos (1863),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_037,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:84113,84113,355,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1864),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_038,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:98445,98445,331,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1865),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_039,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:97333,97333,289,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1867),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_040,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:92786,92786,375,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1866),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_041,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:96936,96936,396,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escrituras y Poderes Especiales (1868),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_042,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:92340,92340,445,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1870-1871),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_043,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:104033,104033,374,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1872-1873),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_044,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:103347,103347,655,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1875),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_045,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:104378,104378,509,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1876-1877),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_046,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:105808,105808,489,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1880-1881),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_047,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:104888,104888,919,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
