wikidata_id,orgid,organization,code,division,department,email
,124745,Hermanus Botanical Society,HER,,,
,125457,National Museum in Prague,PR,,Department of Botany,
,126654,University of Edinburgh,EGHB,Division of Biological Sciences,,
,124954,Inverness Museum and Art Gallery,INV,,,
,124020,Batumi Botanical Garden,BATU,,,nmemiadze@bbg.ge
,126082,Stredoslovenské múzeum,SMBB,Tihániovský kaštiel,,"ssm@ssmuzeum.sk
martincova@ssmuzeum.sk"
,125539,Northamptonshire Natural History Society,NMN,,,seankarley@tiscali.co.uk
,141509,Orel State University,OHHI,,Department of Sciences,llkiseleva@yandex.ru
,124744,Hereford Museum,HFD,,,Jstevenson@herefordshire.gov.uk
,125991,South West Heritage Trust,TTN,,,Dennis.parsons@swheritage.org.uk
,243562,Musée Ignon-Fabre,MENDE,,,ajalouneix@mende.fr
,124204,CENAREST,LBV,,,
,126663,University of Glasgow,GL,,Botany Department,
,173572,Institute of the Industrial Ecology Problems of the North of Kola Science Center of the Russian Academy of Sciences.,INEP,,,borovichyok@mail.ru
,125434,National Biodiversity Centre,THIM,Ministry of Agriculture,,
,125451,Institute for Agricultural Research of Mozambique,LMA,,,
,125445,National Cheng-Kung University,NCKU,,Biology Department,
,124836,Institut de technologie agroalimentaire,QSA,,,
,126311,Universidad de San Carlos de Guatemala,USCG,,,Herbariouscg@gmail.com
,126042,State Forests of New South Wales,NSWF,Research and Development Division,,
,126400,Universidad Nacional de Jujuy,JUA,,Facultad de Ciencias Agrarias,"jua@fca.unju.edu.ar
ahumada.osvaldo@gmail.com
ahumadaosvaldo@arnet.com.ar"
,168320,Universidad del Atlántico,DUGAND,Facultad de Ciencias Basicas,,hermescuadros@mail.uniatlantico.edu.co
,124098,"Botanical Survey of India, Western Circle",BSI,,Ministry of Environment and Forests,
,126827,University of Stellenbosch,STEU,,Department of Botany and Zoology,ld@sun.ac.za
,125996,South African National Parks,KNP,,Scientific Services,guin.zambatis@sanparks.org
,126853,University of the Philippines Baguio,NLUH,Division of Natural Sciences and Mathematics,,c/o tdbalangcod@up.edu.ph
,124813,Inha University,IUI,,Biology Department,bhchoi@inha.ac.kr
,125705,Pomona College,POM,,,
,176085,Ecosystem Research and Development Bureau,EBL,College of Forestry and Natural Resources,,erdb@denr.gov.ph
,124704,Harold L. Lyon Arboretum,HLA,,,cmorden@hawaii.edu
,125891,Service canadien de la faune,SCFQ,Faune et Habitats,,
,147144,Assiut University,ASTU,Faculty of Science,Botany Department,fayed_a@yahoo.com
,19198,Naples Botanical Garden,SWF,,,gwilder@naplesgarden.org
,124292,Derby Museum and Art Gallery,DBY,,,museums@derby.gov.uk
,126007,Southeastern Louisiana University,SELU,,Department of Biological Sciences,rickmiller@selu.edu
,124702,Hardin-Simmons University,HSU,,Biology Department,rhammer@hsutx.edu
,126959,inatura Erlebnis Naturschau GmbH,BREG,,,
,126405,Universidad Nacional de La Plata,LPAG,Facultad de Ciencias Agrarias y Forestales,Area de Botánica,"botespe@agro.unlp.edu.ar
nbayon@isis.unlp.edu.ar"
,123926,Ajou University,AJOU,,Biological Sciences Department,
,127004,Western Michigan University,WMU,,Biological Sciences Department,todd.barkman@wmich.edu
,125853,Salem College,SC,,Biology Department,dane.kuppinger@salem.edu
,125077,Korea University,KUS,,School of Life Sciences,kimkj@korea.ac.kr
,125245,Colorado Mesa University,MESA,,Biology Department,sstern@coloradomesa.edu
,127102,Yunnan University,PYU,Institute of Ecology and Geobotany,Laboratory of Pteridophyta,
,126310,Universidad de San Carlos de Guatemala,BIGU,Facultad de Ciencias Químicas y Farmacia,Escuela de Biología,marioveliz@yahoo.com
,124736,Henderson State University,HEND,,Biology Department,servisb@hsu.edu
,171885,"Botanical Survey of India, Arunachal Pradesh Regional Centre",ARUN,,,aamao2008@gmail.com
,124196,Carthage College,CART,,Biology Department,
,126888,University of Waterloo,WAT,,Biology Department,
,127042,Wittenberg University,JHWU,,Biology Department,
,124117,Brigham Young University - Idaho,RICK,,Department of Biology,bairdg@byui.edu
,126747,University of Nebraska Omaha,OMA,,Biology Department,dsutherland@mail.unomaha.edu
,125803,"Rocky Mountain Research Station, USDA Forest Service",FPF,,,
,125291,Moorhead State University,MRD,,Biology Department,
,126432,Universidad San Francisco de Quito,QUSF,,Biology Department,
,124440,East Central University,ECSC,,Biology Department,rthompsn@ecok.edu
,168895,East Carolina University,ECUH,,Department of Biology,Huangj@ecu.edu
,126032,Texas State University,SWT,,Department of Biology,david.lemke@txstate.edu
,125646,Pakistan Agricultural Research Council,RAW,,,amirsultan_2000@yahoo.com
,125992,Sonoma State University,NCC,,Biology Department,whitkus@sonoma.edu
,126745,"University of KwaZulu-Natal, Westville campus",UNDH,,School of Biological & Conservation Sciences,
,126395,Universidad Nacional de Colombia,VALLE,Facultad de Ciencias Agropecuarias,Departamento de Ciencias Básicas,leforerop@unal.edu.co
,5683,Sociedad para el Estudio de los Recursos Bióticos de Oaxaca,SERO,,,sschibli@hotmail.com
,126957,V. N. Karazin National University,CWU,,,herbarium-cwu@mail.ru
,126314,Universidad de Sevilla,SEV,Centro de Investigación Tecnología e Innovación,,herbariosev@us.es
,126246,Universidad Central de Venezuela,MY,,Botánica,herbariomy@gmail.com
,154127,Regional Research Institute (Ayurveda),RKT,CCRAS,,rrihf.tarikhet@gov.in
,123998,Atkins Jardín Botánico de Cienfuegos,AJBC,,,
,126980,University of Warsaw,WA,,Faculty of Biology,mgraniszewska@biol.uw.edu.pl
,124887,Instituto Canario de Investigaciones Agrarias (ICIA),ORT,Jardín de Aclimatación de la Orotava,,areyes@icia.es
,123985,Arkansas Tech University,APCR,,Department of Biological Sciences,gecker@atu.edu
,124707,Harrow School,HWB,,Biology Department,
,125079,Siberian Federal University,KRSU,,Department of Biogeocoenology,"office@sfu-kras.ru
bio_info@sfu-kras.ru"
,126899,University of Wisconsin-Superior,SUWS,,Department of Natural Sciences,
,5831,Universidade do Estado de Mato Grosso - UNEMAT,NX,,Departamento de Ciências Biológicas,unematherbarionx@gmail.com
,250755,University of Azad Jammu and Kashmir Pakistan,AKASH,,Department of Botany,tariqhabib76@gmail.com
,127008,Museum für Naturkunde,MSTR,,,bernd.tenbergen@lwl.org
,126715,University of Louisiana at Monroe,NLU,Department of Biology,Museum of Natural History,
,124315,College of the Redwoods,CRMC,,Biological Sciences Department,
,124748,High Point University,HPU,,Biology Department,
,125047,Keene State College,KESC,,Department of Biology,janets@unh.edu
,125422,The Nantucket Maria Mitchell Association,NMMA,,Natural Sciences Department,jablyth@gmail.com
,126410,Universidad Nacional del Comahue,BCRU,Centro Regional Universitario Bariloche,Departamento de Botánica,maria.messuti@crub.uncoma.edu.ar
,125551,"Northern Forestry Centre, Canadian Forest Service",CFB,,,
,123913,Agriculture and Agri-Food Canada,BRS,Brandon Research Centre,,
,123999,"Atlantic Forestry Centre, Canadian Forest Service",FFB,Natural Resources Canada,,
,123912,"Agriculture and Agri-Food Canada, substation of Lethbridge Research Centre",ACK,Grassland Applied Technology Centre,,
,125550,"Northern Forestry Centre, Canadian Forest Service",CAFB,,,
,124642,"Great Lakes Forestry Centre, Canadian Forest Service",SSMF,,,sylvia.greifenhagen@ontario.ca
,125804,Roger Williams Park,RWPM,Museum of Natural History,,info@musnathist.com
,125604,"Muzeum Novojièínska, p.o.",NJM,Botanické oddelení,,
,126345,Universidade Federal de Lavras,ESAL,,Departamento de Biologia,sec.herbarioesal@dbi.ufla.br
,126912,University of Zambia,UZL,,Biological Sciences Department,
,242275,Naoroji Godrej Centre for Plant Research,NGCPR,,,"nandikar@godrej.com
ngpr@godrej.com"
,126960,Voronezh State Biosphere Reserve,VGZ,,Research Department,zapovednikvrn@mail.ru
,125329,Museo di Storia Naturale di Venezia,MCVE,,,robich@alice.it
,126213,Umweltamt Darmstadt,DANV,Naturwissenschaftlicher Verein Darmstadt,,
,125433,National and Kapodistrian University of Athens,ATHU,,Faculty of Biology,
,126603,University of Bern,BERN,Botanical Garden of the University of Bern,,katja.rembold@boga.unibe.ch
,11057,Pumat National Park,HPNP,Scientific Section,,vqgpm@hn.vnn.vn
,124998,Java Sugar Experimental Station,PAS,,,
,125782,Rhodes University,RUH,,Botany Department,
,139943,"Institute for Water and Ecology Problems, Far East Branch, Russian Academy of Sciences",KHA,,Laboratory of Plant Ecology,flora@ivep.as.khb.ru
,124180,Canadian Forest Service,OTF,,,
,125678,"Petawawa National Forestry Institute, Canadian Forest Service",PFES,,,
,126975,Walla Walla College,WCP,,Biological Sciences Department,
,126594,University of Auckland,AKU,,School of Biological Sciences,
,126051,University of West Georgia,WGC,,Biology Department,dmorgan@westga.edu
,127122,Zhejiang University,HZU,College of Life Sciences,Lab of Systematics and Evolutionary Botany and Biodiversity,
,150668,"Direcção Geral do Ambiente, Cabinet of Environment, Ministry of Natural Resources and Environment",STPH,,Jardim Botânico do Bom Sucesso,montepico@yahoo.com.br
,123876,Academia de Ciencias Camagüey,HACC,Centro de Investigaciónes de Medio Ambiente,,eddy@cimac.cu
,125095,Laboratoire de Biologie Générale et de Botanique,EBV,,,
,124609,Garyounis University,CHUG,Science Faculty,Botany Department,"CHUG@garyounis.edu
Malrabiai@Garyonuis.edu
A_elmogasapi@garyounis.edu"
,126503,Babes-Bolyai University,CL,,A. Borza Botanical Garden,mihai.puscas@ubbcluj.ro
,123870,Abant Izzet Baysal Üniversitesi,AIBU,Fen-Edebiyat Fakültesi,Biyoloji Bölümü,
,126460,Università degli Studi di Bologna,HUBO,Dipartimento di Scienze e Tecnologie Agroambientali,,
,125475,National Taiwan University,NTUF,College of Bioresources and Agriculture,School of Forestry and Resource Conservation,
,158223,Vietnam Forestry Herbarium,VNF,,,vnbcentre@gmail.com
,124479,"Empresa Pernambucana de Pesquisa Agropecuária, IPA",IPA,Seção  de Botânica e Ecologia,,
,125183,Louisiana Tech University,LTU,School of Biological Sciences,,
,124917,"Instituto Nacional de Investigação Agrária, I.P., L-INIA",LISFA,Unidade de Silvicultura e Productos Florestais,,
,125199,Maharaja Sayajirao University of Baroda,BARO,Faculty of Science,Botany Department,
,125802,"Rocky Mountain Research Station, USDA Forest Service",ASUF,,Southwest Forest Science Complex,jffowler@fs.fed.us
,126385,Universidad Nacional Autónoma de Honduras,TEFH,,Departamento de Biología,herbario@unah.edu.hn
,127051,Wuhan University,WH,College of Life Sciences,,
,126694,University of Kashmir,KASH,Centre of Biodiversity and Taxonomy,,
,125769,Indian Institute of Integrative Medicine,RRLH,Plant Biotechnology Division,,
,125702,Polar-Alpine Botanical Garden-Institute,KPABG,,Laboratory of Flora and Vegetation,nadya50@list.ru
,123967,Ankara Üniversitesi,ANK,,Biyoloji Bölümü,koruklu@science.ankara.edu.tr
,127027,Whitby Naturalists' Club,WHYNC,,,
,78775,Research Institute of Resource Insects,IFRD,,International Fungal Research & Development Centre,stuchen6481@gmail.com
,125136,Leeds Museums and Galleries,LES,,Leeds Museum Discovery Centre,clare.brown@leeds.gov.uk
,126705,University of Leeds,LDS,School of Biology,,
,125999,Southampton University,SPN,,Biology Department,
,124099,Botanic Gardens Museum,SPT,,,
,125511,Nevada Division of Agriculture,NSDA,Bureau of Plant Industry,,jknight@agri.nv.gov
,126232,Universidad Autónoma de Guerrero,UAGC,Instituto de Investigación Científica,Area de Ciencias Naturales,herreran31@hotmail.com
,125341,Museo Friulano di Storia Naturale,MFU,Sezione di Botanica,,info.mfsn@comune.udine.it
,127072,Connecticut Botanical Society,NCBS,Botany Division,"Peabody Museum of Natural History, Yale University",
,126207,Udmurt State University,UDU,,"Department of Botany, Zoology, and Bioecology",
,123887,Adam Mickiewicz University,POZ,,Department of Plant Taxonomy,
,126387,Universidad Nacional Autónoma de México,FEZA,Facultad de Estudios Superiores Zaragoza,,
,125584,Oberlin College,OC,,Department of Biology,
,126077,Stonyhurst College,SYT,,,
,125959,Slezské zemské muzeum Opava - Silesian Museum,OP,,,
,123918,Swift Current Research and Development Centre - AAFC,SCS,,,
,125186,Ludlow Museum,LDL,,,Ludlow.Ludlow.Museum@Shropshire.gov.uk
,125579,Mordovia State University,GMU,,"Department of Botany, Physiology and Ecology of Plants",hapugin88@yandex.ru
,124069,Booth Museum of Natural History,BTN,,,
,125441,National Botanic Gardens,DBN,,,
,126331,Universidade do Porto,PO,Museu de História Natural e da Ciência da Universidade do Porto (MHNC-UP),Departamento de Botânica,
,123958,ANGUSalive Museums,MSE,,,MontroseMuseum@angusalive.scot
,126444,Università degli Studi di Milano,MIPV,"Dipartimento di Scienze per gli alimenti, la nutrizione e l'ambiente",Laboratorio di Micologia e Patologia vegetale,
,126753,University of Newcastle upon Tyne,HAMU,Hancock Museum,,
,125175,Longwood University,FARM,,Department of Biological and Environmental Science,
,125214,"Manti-LaSal National Forest, USDA Forest Service",MALS,,,
,125864,San Francisco State University,SFSU,,Department of Biology,
,126431,Universidad Privada Antenor Orrego,HAO,Museo de Historia Natural,,museo@upao.edu.pe
,125537,Norfolk Museums Service,NWH,,Natural History Department,
,124044,Berwick-upon-Tweed Museum & Art Gallery,BRWK,,,
,126651,"University of KwaZulu-Natal, Westville campus",UDW,,School of Life Sciences (Biological & Conservation Sciences),nicholasa@ukzn.ac.za
,126509,Regensburgische Botanische Gesellschaft,REG,,,peter.poschlod@ur.de
,126893,University of Winnipeg,UWPG,,Department of Biology,g.avila-sakar@uwinnipeg.ca
,124076,Botanical Garden-Institute of FEB RAS,VBGI,,Laboratory of Cryptogamic Biota,bryo_vlad@list.ru
,126144,The Citadel,CITA,,Biology Department,joel.gramling@citadel.edu
,126884,University of Wales,ABS,,Botany Department,
,124094,"Botanical Survey of India, Eastern Regional Centre",ASSAM,,,bsibsishll@yahoo.co.in
,124529,Florida Southern College,FSCL,,Biology Department,
,125975,Smith College,SCHN,,Biological Sciences Department,jbellema@smith.edu
,124620,Georgia Southern University,GAS,,Department of Biology,herbarium@georgiasouthern.edu
,124709,Hartwick College,HHH,,,tedecl17@oneonta.edu
,126294,Universidad del Valle,CUVC,,Departamento de Biología,alba.torres@correounivalle.edu.co
,169086,Armstrong State University,AASU,,Biology Department,michele.guidone@armstrong.edu
,125238,McNeese State University,MCN,,Biology Department,
,125609,Old Dominion University,ODU,,Department of Biological Sciences,
,225886,"University of the State of Mato Grosso, UNEMAT",HPAN,,,hpancac@unemat.br
,126364,Universidade Federal do Pará,HF,Instituto de Ciências Biológicas,Laboratório de Ecologia Vegetal,herbariohf@yahoo.com
,126290,Universidad de Los Andes,MERF,Facultad de Farmacia,,
,126433,Universidad San Pablo-CEU,USP,,Departamento de Biología Vegetal (sección Botánica),
,125664,Peabody Essex Museum,PM,,Natural History Department,
,125377,Muséum National d'Histoire Naturelle,CO,,Department of Marine Biology,
,126566,University,CERN,Botanical Institute,,
,252469,Indian Institute of Science Education and Research-Bhopal,BHPL,,Department of Biological Sciences,gowdav@iiserb.ac.in
,248713,Shahid Bahonar University of Kerman,MIR,,,mirtadz@uk.ac.ir
,124414,Dirección Nacional del Antártico,IAA,,,
,124916,Instituto Nacional de Farmacología y Bromatología,INFYB,,Farmacobotánica,
,124910,Instituto Forestal Nacional (IFONA),BAI,,Centro Forestal Castelar,
,125356,Museu do Dundo,DIA,,,
,125100,Laboratorio de Botánica de la Dirección de Agricultura,LPD,,,
,124920,Instituto Nacional de Limnología,STL,,Departamento Macrófitas,
,125728,Protección de la Naturaleza,BUEN,,,
,126581,University of Alaska,AES,Agricultural and Forestry Experiment Station,,
,125381,Muséum National d'Histoire Naturelle,PCU,Laboratoire de Biologie Végétale Appliquée,,
,126622,University of California,IRVC,,UCI Arboretum Mail,pabowler@uci.edu
,124560,"USDA Forest Service, Alaska Region",TNFS,,,
,125621,Oregon State University,OSUF,,Department of Wood Science and Engineering,
,126404,Universidad Nacional de La Patagonia,HRP,Facultad de Ciencias Naturales,Departamento Biologia General,herbapat@unpata.edu.ar
,125663,Patagonia Botanical Park,PBP,,,avilela@mef.org.ar
,139135,Université de Kinshasa,IUK,Faculté des Sciences,Departement de Biologie,jphabr@yahoo.fr
,126390,Universidad Nacional Autónoma de Nicaragua,HULE,Facultad de Ciencias,Departamento de Biología,herbario@unanleon.edu.ni
,144349,Plyos State Museum,PLES,,"Reserve of History, Architecture and Art",ples@mail.ru
,126620,University of California,DAVH,,Environmental Horticulture Department,
,144181,Pskov State University,PSK,Faculty of Geography,Department of Botany,
,144241,Chingan State Nature Reserve,ARKH,,,
,126278,Universidad de la República,MVFA,Facultad de Agronomía,Laboratorio de Botánica,ehmarch@gmail.com
,126618,University of California,AHUC,Beecher Crampton Collection,Agronomy and Range Science Department,
,125140,Leicestershire Flora Committee,LSRFC,,,
,125139,Leicester Literary and Philosophical Society,LEI,,,
,125760,Ratcliffe College,LCR,,,
,149387,Bu-Ali Sina University,BASU,,Department of Biology,ranjbar@basu.ac.ir
,149450,Inonu University,INU,Faculty of Science and Art,Department of Biology,
,126168,Tokyo University of Agriculture,TUAT,Museum,,
,127085,Yeungnam University,YNUH,,Biology Department,sjpark01@ynu.ac.kr
,124569,Fort Hays State University,FHKSC,Sternberg Museum of Natural History,,
,126995,Werneth Park Study Centre and Natural History Museum,WERN,,,
,166214,"""Alexandru Ioan Cuza"" University",I,,Faculty of Biology,iblaj2002@yahoo.com
,150723,Centre National de Semences Forestières,CNSF,,Ministry of Forestry,cnsf@fasonet.bf
,125192,Luther College,LCDI,,Biology Department,
,125048,"Kellogg Biological Station, Michigan State University",KBSMS,,,
,126529,Université de Liège,LG,,Département de Botanique,e.serusiaux@ulg.ac.be
,126376,Universidade Santa Úrsula,RUSU,Instituto de Ciências Biológicas e Ambientais,,
,126850,University of the Pacific,CPH,,Biological Sciences Department,mbrunell@PACIFIC.EDU
,124295,Clemson University,CLEMS,,Biological Sciences Department,ddamrel@clemson.edu
,126822,Colorado State University -- Pueblo,PUSC,,Life Sciences Department,
,126353,Universidade Federal de Pelotas,PEL,Instituto de Biologia,Departamento de Botânica,herbario@ufpel.edu.br
,126429,Universidad Politécnica de Madrid,EMMA,Escuela Técnica Superior Ingenieros de Montes,"Unidad Docente Botánica, Departamento Silvopascicultura",
,126872,Walter Sisulu University,KEI,,Botany Department,
,124770,"Houghton Lake Wildlife Research Station, Michigan Department of Natural Resources",HL,,Natural Resources Department,
,126483,Universitat de Girona,HGI,Facultad de Ciéncies,Àrea de Botànica,
,125490,Natural History Museum,SIB,,,"aghizela@yahoo.com
ghizela.vonica@brukenthalmuseum.ro"
,125784,Río Palenque Science Center,RPSC,,,
,124415,"Dirección Nacional Forestal, Ministerio de Agricultura y Ganadería",QAME,Centro Forestal de Conocoto,,
,126897,University of Wisconsin,RIVE,,Biology Department,john.wheeler@uwrf.edu
,125332,Museo de Ciencias Naturales de Alava,VIT,,Departamento de Botánica,
,124392,Bangkok Herbarium,BK,Department of Agriculture,Plant Variety Protection Office,kpruesapan@gmail.com
,126886,University of Wales,UCNW,School of Biological Sciences,,
,125346,Museo Nacional de Historia Natural,MVM,,Departamento de Botánica,titoalba3@yahoo.com
,125243,Memorial University of Newfoundland,NFLD,,Biology Department,
,126008,Southeastern Oklahoma State University,DUR,,Biological Sciences Department,srice@se.edu
,160489,Kebun Raya Bogor,KRB,,,krbherbarium@yahoo.com
,126701,University of Lancaster,LANC,Institute of Environmental and Natural Sciences,Department of Biological Sciences,
,126943,Victoria University of Wellington,WELTU,School of Biological Sciences,,
,126531,Université de Lille,LIP,Faculté des Sciences Pharmaceutiques et Biologiques,Département de Botanique,
,156521,Southern Utah University,SUU,,,mattogburn@suu.edu
,126542,Université du Lomé,TOGO,Faculté des Sciences,Laboratoire de Botanique et Ecologie Végétale,pradji@hotmail.com
,125094,Kyushu University,FU,"Laboratory of Wood Science, Faculty of Agriculture",Department of Forest and Forest Products Sciences,
,126196,Tullie House Museum,CLE,,,steve.hewitt@tulliehouse.org
,125141,Leicestershire County Council Museum Service,LSR,,Collections Resources Centre,geoffrey.hall@leics.gov.uk
,124945,"I.N.T.A., E.E.A. La Rioja",CHAM,,,fnbiurrun@yahoo.com.ar
,126815,University of Silesia,KTU,Faculty of Biology and Environmental Protection,Department of Botany and Nature Protection,ktu.herbarium@us.edu.pl
,126473,Università di Venezia,UVV,,Dipartimento de Scienze Ambientali,buffag@unive.it
,126365,Universidade Federal do Paraná,UPCB,,Departamento de Botânica,herbarioupcb@gmail.com
,124474,Emory and Henry College,EHCV,,Biology Department,gbresowar@ehc.edu
,124865,Chinese Academy of Sciences,HMAS,,Institute of Microbiology,
,124233,"Centro Interdisciplinario de Investigación para el Desarrollo Integral Regional (CIIDIR) IPN-Michoacán,",CIMI,,,igarciar@ipn.mx
,125688,Pierce College,LAPC,,Life Sciences Department,
,125775,Research Institute of Forests and Rangelands,TARI,,Botanical Department,
,125519,New England College,NHNE,,Biology Department,
,124135,Brunei Forestry Centre,BRUN,,,"joffre.aliahmad@forestry.gov.bn
joffre7579@gmail.com"
,125229,Massachusetts College of Liberal Arts,NASC,,Biology Department,
,124161,California Polytechnic State University,OBI,,Biological Sciences Department,jyost@calpoly.edu
,125757,University of Johannesburg,JRAU,,Department of Botany and Plant Biotechnology,amoteetee@uj.ac.za
,125055,Kherson State University,KHER,,Botany Department,
,124452,Universität Tübingen,TUB,Lehrstuhl Evolutionäre Ökologie der Pflanzen,Institut für Evolution & Ökologie,
,126401,Universidad Nacional de la Amazónia Peruana,AMAZ,,,rijahua@hotmail.com
,126716,University of Louisiana Lafayette,USLH,,Department of Renewable Resources,
,127093,Youngstown State University,YUO,,Biological Sciences Department,
,126565,Universiti Putra Malaysia,UPM,Faculty of Science,Department of Biology,
,124033,Beijing Normal University,BNU,College of Life Sciences,Biology Department,
,126299,Universidad de Murcia,MUB,,"Departamento de Biología Vegetal, Botánica",
,126378,Universidad Juárez Autónoma de Tabasco,UJAT,,,
,165753,Centro Universitario Regional del Litoral Atlantico,CURLA,,,yaninaguerrerom@gmail.com
,126208,"Ufa Scientific Centre, Russian Academy of Sciences",UFA,Institute of Biology,,seryam@anrb.ru
,124307,"Colegio de Postgraduados, Campus Tabasco",CSAT,,,rogarlopez@colpos.mx
,124167,California State University,LOB,,Biological Sciences Department,Amanda.Fisher@csulb.edu
,146013,El Colegio de la Frontera Sur,CH,,,mishiki@ecosur.mx
,124350,Cranbrook School,CRBK,,,
,125921,Shasta College,RESC,Natural Science Division,,kkilborn@shastacollege.edu
,125262,Ministère du Tourisme de la Chasse et de la Pêche du Québec,QPAR,Service de la Faune,Laboratoire de Recherches,
,125436,South African National Biodiversity Institute,NH,,,KwaZulu-NatalHerbarium@sanbi.org
,126766,University of North Dakota,GFND,,Biology Department,
,126602,University of Bergen,BG,,Museum of Natural History,
,125618,Orange County Department of Agriculture,ANA,,,
,124789,Hunan Normal University,HNNU,College of Life Sciences and Hunan Institute of Biology,Botany Department,
,126991,Wayne State University,WUD,,Biological Sciences Department,
,125061,Kings Park and Botanic Garden,KPBG,,Botanic Gardens and Parks Authority,
,125786,Roanoke College,SARC,,Biology Department,poli@roanoke.edu
,125794,Rochester Academy of Science,ROCH,Botany Section,,
,125980,Snow College,EPHR,,Biology Department,luis.gordillo@snow.edu
,126319,Universidade de Aveiro,AVE,,Departamento de Biologia,
,126261,"Universidad de Castilla, La Mancha",ALBA,Sección de Sistemática y Etnobotánica,"Departamento de Ciencias Ambientales, Instituto Botánico",
,126013,Southern Illinois University,ABSH,,Department of Plant Biology,
,124378,Davis and Elkins College,DEWV,,Biology and Environmental Science Department,mabrym@dewv.edu
,126448,Università degli Studi di Napoli Federico II,POR,,Dipartimento di Agraria,adriano.stinca@unina.it
,125829,Royal Ontario Museum,TRT,Center for Biodiversity and Conservation Biology,Department of Natural History,
,126223,Universidad Autónoma Agraria Antonio Narro,ANSM,,Departamento de Botánica,
,125182,Louisiana State University,LSUS,,Biological Sciences Department,
,124595,Fundação Oswaldo Cruz,IOC,Instituto Oswaldo Cruz,,
,125806,Rowley's House Museum,SHY,,,Ludlow.Ludlow.Museum@Shropshire.gov.uk
,125486,Natural History Museum of Los Angeles County,LAM,Research and Collections,Botanical Studies,
,126820,University of Southern California,AHFH,Allan Hancock Foundation,,
,125725,Slovenian Museum of Natural History,LJM,Department of Botany,,spungarsek@pms-lj.si
,125810,Royal Botanical Gardens,HAM,,,ncavallin@rbg.ca
,125488,Natural History Museum,ON,Ministry of Heritage and Culture,,
,125202,Main Botanical Garden of the Russian Academy of Sciences,MHA,,,"ischanzer@gmail.com
ischanzer@mail.ru"
,124490,Escuela Nacional de Ciencias Forestales,HJBL,Jardín Botánico y Centro de Investigación Lancetilla,,info@lancetilla.org
,125879,Seale-Hayne Agricultural College,NAT,,,
,130470,Khon Kaen University,KKU,Faculty of Science,Department of Biology,"pranom@kku.ac.th
chantaranothai@gmail.com"
,125622,Orielton Field Centre,OFC,Field Studies Council,,
,125747,"Queen's Gardens, College of Higher Education",HLL,Humberside County Council,Natural Science Department,
,126677,University of Hull,HLU,,Botany Department,
,124347,County Record Office,NTLN,North Yorkshire County Council,County Archives Department,
,126990,Wau Ecology Institute,WAU,,,
,125019,Johannesburg Botanic Garden,JBG,,,vyani@jhbcityparks.com
,126237,"Universidad Autónoma de Querétaro, Centro Universitario",QMEX,Biología,Facultad de Ciencias Naturales,qmex@uaq.mx
,79281,Mae Fah Luang University,MFLU,,Center of Excellence in Fungal Research,mfumycology.herbarium@gmail.com
,126933,Uzbek Academy of Sciences,TASM,Institute of the Gene Pool of Plants and Animals,,yugafforov@yahoo.com
,126084,Stroud District (Cowle) Museum Service,SUD,Stroud District Council,,Museum@stroud.gov.uk
,125386,Museum of Louth Naturalists' Antiquity and Literary Society,LTH,,,louthmuseum@btconnect.com
,125997,South African National Parks,KSAN,,,Hugo.bezuidenhout@sanparks.org
