number,uri
24,/dwc/terms/minimumDepthInMeters
24,/dwc/terms/identifiedBy
24,/dwc/terms/eventDate
24,/dwc/terms/countryCode
24,/dwc/terms/acceptedNameUsage
22,/dwc/terms/lifeStage
22,/dwc/terms/history/
22,/dwc/terms/geodeticDatum
22,/dwc/terms/collectionCode
22,/abcd/2.06
21,/dwc/terms/typeStatus
21,/dwc/terms/samplingProtocol
21,/dwc/terms/preparations
21,/dwc/terms/nomenclaturalCode
21,/dwc/terms/municipality
21,/dwc/terms/disposition
20,/dwc/terms/subgenus
20,/dwc/terms/organismScope
20,/dwc/terms/history/dwctoabcd/
20,/dwc/terms/georeferenceProtocol
20,/dwc/terms/establishmentMeans
20,/dwc/terms/county
19,/UBIF/2006/rddl.html
19,/dwc/terms/sex
19,/dwc/terms/nomenclaturalStatus
19,/dwc/terms/Event
18,/dwc/terms/originalNameUsageID
18,/dwc/terms/namespace/
18,/dwc/examples/text/example_text_simpledwc_complete.xml
17,/tapir/cs/mappings/index.xml
17,/dwc/terms/ownerInstitutionCode
17,/dwc/terms/maximumDepthInMeters
17,/dwc/terms/fieldNumber
17,/dwc/examples/xml/example_simple.xml
16,/dwc/terms/MeasurementOrFact
15,/dwc/terms/verbatimCoordinates
15,/dwc/terms/scientificNameID
15,/dwc/terms/samplingEffort
15,/dwc/terms/georeferenceVerificationStatus
15,/dwc/terms/associatedReferences
14,/dwc/terms/measurementRemarks
14,/dwc/terms/measurementMethod
14,/dwc/terms/measurementAccuracy
14,/dwc/terms/locationRemarks
14,/dwc/terms/islandGroup
14,/ac/terms/furtherInformationURL
13,/dwc/terms/verbatimEventDate
13,/dwc/terms/taxonRemarks
13,/dwc/terms/reproductiveCondition
13,/dwc/terms/measurementValue
13,/dwc/terms/georeferenceSources
13,/dwc/terms/eventTime
13,/dwc/terms/datasetID
13,/dwc/terms/associatedSequences
12,/dwc/terms/year
12,/dwc/terms/verbatimLocality
12,/dwc/terms/measurementID
12,/dwc/terms/measurementDeterminedBy
12,/dwc/terms/informationWithheld
12,/dwc/terms/georeferenceRemarks
12,/dwc/terms/behavior
12,/dwc/terms/attributes/
12,/dwc/terms/additionalInformationURL
12,/abcd2/terms/SpecimenUnit-PreparationAgent-Organisation-Name
11,/dwc/terms/nameAccordingTo
11,/dwc/terms/materialSampleID
11,/dwc/terms/island
11,/dwc/terms/institutionID
11,/dwc/terms/history/versions/
11,/dwc/terms/higherClassification
11,/dwc/terms/georeferencedBy
11,/dwc/terms/footprintWKT
11,/dwc/terms/dataGeneralizations
11,/?author=1
11,/abcd2/terms/Identification-DayNumberEnd
10,/dwc/terms/waterBody
10,/dwc/terms/sampleSizeUnit
10,/dwc/terms/Organism
10,/dwc/terms/measurementUnit
10,/dwc/terms/measurementDeterminedDate
10,/dwc/terms/history/decisions
10,/dwc/terms/fieldNotes
10,/dwc/terms/collectionID
10,/?author=9
10,/?author=8
10,/?author=7
10,/?author=6
10,/?author=5
10,/?author=4
10,/?author=3
10,/?author=2
10,/?author=15
10,/?author=14
10,/?author=13
10,/?author=12
10,/?author=11
10,/?author=10
10,/abcd/2.06/ABCD_2.06.zip
9,/tapir/1.0/schema/tdwg_tapir.xsd
9,/dwc/terms/sampleSizeValue
9,/dwc/terms/latestEonOrHighestEonothem
9,/dwc/terms/identificationQualifier
9,/dwc/terms/dynamicProperties
9,/dwc/terms/continent
9,/dwc/terms/associatedTaxa
9,/abcd/
8,/tapir/cns/dwc_1_4.xml
8,/dwc/terms/verbatimLongitude
8,/dwc/terms/PreservedSpecimen
8,/dwc/terms/month
8,/dwc/terms/MaterialSample
8,/dwc/terms/history/decisions/
8,/dwc/terms/guides/rdf
8,/dwc/terms/downloader/index.php
8,/abcd/2.06/rddl-2007-06-13.html
7,/UBIF/2006/Schema/1.1/encoded-inline-formatting/EncodedFormattingProposal.html
7,/tapir/cns/dwgeo_1_4.xml
7,/tapir/cns/dwcur_1_4.xml
7,/ontology/voc/GeographicRegion.rdf
7,/dwc/terms/previousIdentifications
7,/dwc/terms/parentEventID
7,/dwc/terms/organismQuantity
7,/dwc/terms/MachineObservation
7,/dwc/terms/LivingSpecimen
7,/dwc/terms/./history/./index.htm
7,/dwc/terms/higherGeography
7,/dwc/terms/associatedMedia
6,/tapir/cns/dwc_terms_2009_09_23.xml
6,/ontology/voc/TaxonConcept.rdf
6,/dwc/terms/otherCatalogNumbers
6,/dwc/terms/organismQuantityType
6,/dwc/terms/lithostratigraphicTerms
6,/dwc/terms/latestAgeOrHighestStage
6,/dwc/terms/identificationReferences
6,/dwc/terms/./history/index.htm
6,/dwc/terms/highestBiostratigraphicZone
6,/dwc/terms/genericName
6,/dwc/terms/bed
6,/dwc/terms/%23collectionCode
6,/dwc/tdwg_basetypes.xsd
6,/abcd2/terms/Identification-TimeZone
6,/abcd2/terms/Identification-Result
6,/abcd2/terms/Gathering-Height-Parameter
5,/?-s
5,/ontology/voc/SPMInfoItems.rdf
5,/dwc/terms/minimumDistanceAboveSurfaceInMeters
5,/dwc/terms/guides/text
5,/dwc/terms/group
5,/dwc/terms/GeologicalContext
5,/dwc/terms/formation
5,/dwc/terms/endDayOfYear
5,/dwc/terms/day
5,/dwc/terms/dateIdentified
5,/dwc/terms/attributes/abcdEquivalence
5,/dwc/terms/associatedOrganisms
5,/dwc/terms/associatedOccurrences
5,/abcd-efg/terms/HostRockStratigraphy-MagnetostratigraphicDetermination-ISODateTimeEnd
5,/abcd/2.06/rddl-2007-10-18.html
5,/abcd/2.06/b/ABCD_2.06b.xsd
5,/abcd
4,/UBIF/2006/Schema/1.1/documentation/UBIF_EnumData.html
4,/tapir/1.0/template
4,/tapir/1.0/summary
4,/tapir/1.0/response
4,/tapir/1.0/outputModel
4,/tapir/1.0/maxElementRepetitions
4,/tapir/1.0/mappedConcept
4,/tapir/1.0/anyOutputModels
4,/ontology/voc/GeographicRegion
4,/ontology/Core.rdf
4,/dwc/terms/verbatimTaxonRank
4,/dwc/terms/verbatimElevation%E2%80%9D
4,/dwc/terms/verbatimDepth%E2%80%9D
4,/dwc/terms/verbatimCoordinateSystem
4,/dwc/terms/startDayOfYear
4,/dwc/terms/specificEpithet%E2%80%9D
4,/dwc/terms/scientificName%E2%80%9D
4,/dwc/terms/relationshipAccordingTo
4,/dwc/terms/lowestBiostratigraphicZone
4,/dwc/terms/locationAccordingTo
4,/dwc/terms/latestEpochOrHighestSeries
4,/dwc/terms/individualID
4,/dwc/terms/index.htm%20-%20occurrenceID
4,/dwc/terms/Identification
4,/dwc/terms/HumanObservation
4,/dwc/terms/footprintSRS
4,/dwc/terms/eventRemarks
4,/dwc/terms/earliestPeriodOrLowestSystem
4,/dwc/terms/coordinatePrecision
4,/dwc/terms/class%E2%80%9D
4,//?author=9
4,//?author=8
4,//?author=7
4,//?author=6
4,//?author=5
4,//?author=4
4,//?author=3
4,//?author=2
4,//?author=1
4,/ac/terms/scientificNameSynonym
4,/ac/terms/captureDevice
4,/ac/terms/%7C
4,/abcd2/terms/Unit-Acknowledgement-Details
4,/abcd2/terms/Synecology-Syntaxon
4,/abcd2/terms/SequencingAgent-LogoURI
4,/abcd2/terms/CultureCollectionUnit-Aerobicity-@language
4,/abcd/2.06/
3,/UBIF/2006/Schema/1.1/xsl-experiments/xsd-SchemaReport.xsl/trackback/
3,/UBIF/2006/Schema/1.1/xsl-experiments/xsd-SchemaReport.xsl
3,/UBIF/2006/Schema/1.1/documentation/SDD_Overview.html
3,/tapir/cs/mappings/dwcgeo14_references.xml
3,/ontology/voc/TaxonRank
3,/ontology/voc/TaxonOccurrence
3,/ontology/voc/TaxonName.rdf
3,/ontology/voc/Specimen.rdf
3,/ontology/
3,/dwc/terms/type
3,/dwc/terms/taxonConceptID
3,/dwc/terms/relationshipOfResource
3,/dwc/terms/relatedResourceID
3,/dwc/terms/occurrenceRemarks
3,/dwc/terms/namePublishedInID
3,/dwc/terms/nameAccordingToID
3,/dwc/terms/member
3,/dwc/terms/maximumDistanceAboveSurfaceInMeters
3,/dwc/terms/index.htm%20-%20catalogNumber
3,/dwc/terms/identificationVerificationStatus
3,/dwc/terms/guides/text/.
3,/dwc/terms/guides/rdf/index.htm%233.7_dwc:_namespace_terms_that_have_analogues_in_the_dwciri:_name
3,/dwc/terms/georeferencedDate
3,/dwc/terms/geologicalContextID
3,/dwc/terms/earliestEraOrLowestErathem
3,/dwc/terms/earliestAgeOrLowestStage
3,/dwc/terms/attributes/status
3,/dwc/terms/attributes/organizedInClass
3,/dwc/terms/attributes/label_insdc
3,/dwc/terms/attributes/decision
3,/ac/terms/subtypeLiteral
3,/ac/assets/styles.css
3,/ac/assets/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0
3,/ac/assets/font-awesome-4.7.0/css/font-awesome.min.css
3,/abcd-efg/terms/RockUnit-FullName
3,/abcd-efg/terms/Geologists-Name
3,/abcd2/terms/Units
3,/abcd2/terms/Unit-Owner-TelephoneNumber-@preferred
3,/abcd2/terms/Unit-Acknowledgement-Text
3,/abcd2/terms/Unit
3,/abcd2/terms/SpecimenUnit-AcquiredFrom-LogoURI
3,/abcd2/terms/Gathering-SiteImage-License-Details
3,/abcd/2.06/a/ABCD_2.06a.xsd
2,/UBIF/2006/Schema/1.1/SDD_ForObjects.xsd
2,/UBIF/2006/Schema/1.1/encoded-inline-formatting/UBIF-EncodedFormatting-Strip-SampleOutput.html
2,/UBIF/2006/rddl-2006-05-11.html
2,/UBIF/2006
2,/UBIF/2005/rddl-2005-09-15.html
2,/tapir/1.0/schema/tapir.xsd
2,/ontology/voc/TaxonRank.rdf
2,/ontology/voc/TaxonOccurrenceInteraction.rdf
2,/ontology/voc/TaxonName
2,/ontology/voc/TaxonConcept
2,/ontology/voc/SPMInfoItems
2,/ontology/voc/SpeciesProfileModel
2,/ontology/voc/Common
2,/ontology/voc/Collection
2,/ontology/voc/
2,/dwc/./xsd/tdwg_dwcterms.xsd
2,/dwc/./xsd/tdwg_dwc_simple.xsd
2,/dwc/./xsd/tdwg_dwc_class_terms.xsd
2,/dwc/xsd/simpledarwincore/
2,/dwc/trackback/
2,/dwc/./text/tdwg_dwc_text.xsd
2,//dwc/terms/verbatimCoordinateSystem
2,/dwc/terms/v
2,/dwc/./terms/simple/index.htm
2,/dwc/terms/simple
2,/dwc/terms/scientificName%A1%B1
2,/dwc/terms/organismName
2,/dwc/terms/organismID
2,/dwc/terms/occurrencelD
2,/dwc/terms/occurrenceDetails
2,/dwc/terms/Occurrence=92999
2,/dwc/./terms/namespace/index.htm
2,/dwc/terms/latestEraOrHighestErathem
2,/dwc/./terms/index.htm
2,/dwc/./terms/history/versions/index.htm
2,/dwc/./terms/history/index.htm
2,/dwc/./terms/history/dwctoabcd/index.htm
2,/dwc/./terms/history/decisions/index.htm
2,/dwc/./terms/guides/xml/index.htm
2,/dwc/terms/guides/xml
2,/dwc/./terms/guides/text/index.htm
2,/dwc/./terms/guides/rdf/index.htm
2,/dwc/terms/FossilSpecimen
2,/dwc/terms/earliestEpochOrLowestSeries
2,/dwc/terms/earliestEonOrLowestEonothem
2,/dwc/terms/class%A1%B1
2,/dwc/./rdf/dwcterms.rdf
2,/dwc/./rdf/dwctermshistory.rdf
2,/dwc/./index.htm
2,/dwc/examples/text/simplemetafile.xml
2,/dwc/./examples/text/example_text_simpledwc_complete.xml
2,/dwc/dwctype/MachineObservation
2,/dwc/dwctype/Location
2,/dwc/dwctype/
2,/dwc/dwcore
2,/dwc/%C3%A7
2,/dwc/2009-09-23/terms/namespace/index.htm
2,/ac/terms/accessURI
2,/ac/terms/
2,/abcd-efg/terms/RockUnit-MeasurementOrFactText-@language
2,/abcd-efg/terms/RockUnit-ExactDate
2,/abcd-efg/terms/AnalysisDateTime-ISODateTimeBegin
2,/abcd-efg/terms/Alteration
2,/abcd2/terms/Unit-Acknowledgements
2,/abcd2/terms/Unit-Acknowledgement-@language
2,/abcd2/terms/Synecology-Bacterial
2,/abcd2/terms/SpecimenUnit
2,/abcd2/terms/SourceInstitutionID
2,/abcd2/terms/SequencingAgent-Organisation-Text
2,/abcd2/terms/PalaeontologicalUnit-Preservation
2,/abcd2/terms/MultiMediaObject
2,/abcd2/terms/Gathering-Permits-Permit
2,/abcd2/terms/GatheringAgentsText
2,/abcd2/terms/DataSets
2,/abcd2/terms/DataSet-IPRDeclaration-Details
2,/abcd2/terms/CultureCollectionUnit-GrowthConditions-@language
2,/abcd/1.2/rddl-2006-11-15.html
1,/zpjkng.txt
1,/xrjnnr.txt
1,/xrbcqu.txt
1,/xnbjzl.txt
1,/wfsbxn.txt
1,/vwinuz.txt
1,/vnaqfl.txt
1,/vfwcel.txt
1,/uonqwm.txt
1,/UBIF/2006/Schema/SDD1.1rev5.zip
1,/UBIF/2006/Schema/1.1/documentation/UBIF_EnumLib_Overview.html
1,/UBIF/2006/Schema/1.1/documentation/SDD_EnumData.html
1,/UBIF/2006/Schema/1.1/documentation/SDD_(c)_Overview.html
1,/rjcluj.txt
1,/rgnukf.txt
1,/pxznkn.txt
1,/pxdlrn.txt
1,/ouonaw.txt
1,/ontology/voc/SpeciesProfileModel.rdf
1,/ontology/voc/Ontology.owl
1,/ontology/voc/CollectionType.rdf
1,/ontology/voc
1,/odtwqv.txt
1,/odjinz.txt
1,/oaqnqy.txt
1,/nuogux.txt
1,/luwvdn.txt
1,/lqdiva.txt
1,/lfgbrh.txt
1,/leidwt.txt
1,/kndbna.txt
1,/judxbz.txt
1,/jlsazq.txt
1,/jhjvvb.txt
1,/ixborv.txt
1,/gukkiy.txt
1,/gktoue.txt
1,/gdwbic.txt
1,/foamcs.txt
1,/dwc/xsd
1,/dwc/text
1,/dwc/terms/verbatimSRS
1,/dwc/terms/type-vocabulary
1,/dwc/terms/trackback/
1,/dwc/terms/speci
1,/dwc/terms/samplingeffort
1,/dwc/terms/SampleRemarks
1,/dwc/terms/resourceRelationshipID
1,/dwc/terms/ResourceRelationship
1,/dwc/terms/resourceID
1,/dwc/terms/relationshipRemarks
1,/dwc/terms/?query=%0APREFIX+dwc_terms%3A+%3Chttp%3A//rs.tdwg.org/dwc/terms/%3E%0ASELECT+%3Fs+dwc_terms%3AscientificName+%3FscientificName%0AWHERE+%7B%0A%3Fs+ascdc-props_bio%3ASL%7Cascdc-props_bio%3AminSL+%3FminSL%3B%0A%3Chttp%3A//purl.org/dc/terms/type%3E+%3Chttp%3A//dbpedia.org/resource/Specimen%3E.%0A%3Fs+dwc_terms%3AscientificName+%3FscientificName.%0AFILTER+%28+%3FminSL+%3E+1000+%29.%0A%7D%0A&output=json&results=json&format=json
1,//dwc/terms/PreservedSpecimen
1,/dwc/terms/pointRadiusSpatialFit
1,/dwc/terms/parentNameUsage
1,/dwc/terms/organismRemarks
1,/dwc/terms/lifestage
1,/dwc/terms/latestPeriodOrHighestSystem
1,/dwc/terms/infraspecificEpithet-2009-08-24
1,/dwc/terms/index.htm%20-%20vernacularName
1,/dwc/terms/index.htm%20-%20recordedBy
1,/dwc/terms/index.htm%20-%20institutionCode
1,/dwc/terms/index.htm%20-%20country
1,/dwc/terms/./history/index.htm?ctDT%3D2568%20AND%201%3D1%20UNION%20ALL%20SELECT%201%2CNULL%2C%27%3Cscript%3Ealert%28%22XSS%22%29%3C%2Fscript%3E%27%2Ctable_name%20FROM%20information_schema.tables%20WHERE%202%3E1--%2F%2A%2A%2F%3B%20EXEC%20xp_cmdshell%28%27cat%20..%2F..%2F..%2Fetc%2Fpasswd%27%29%23
1,/dwc/terms/history/dwctoabcd/index.htm%20-%20dwccurrent
1,/dwc/terms/history
1,/dwc/terms/higherGeographyID
1,/dwc/terms/dcterms
1,//dwc/terms/countryCode
1,/dwc/terms/attributes/%7C
1,/dwc/terms/attributes
1,/dwc/terms/appendixCITES
1,/dwc/terms/%23identifiedBy
1,/dwc/terms/%23identificationVerificationStatus&amp
1,/dwc/terms/%23georeferenceVerificationStatus&amp
1,/dwc/terms/%20Taxon
1,/dwc/terms/%20-%20individualCount
1,/dwc/terms/%20-%20decimalLatitude
1,/dwc/terms/%20-%20dcterms:BibliographicCitation
1,/dwc/terms/-
1,/dwc/term
1,/dwc/tdwg_dw_record.xsd
1,/dwc/tdwg_dw_record_tapir.xsd
1,/dwc/dwcore/
1,/dwc/DarwinCore_files/default.js?_fp332=0.33260955669170067
1,/dwc/2009-07-06/index.htm
1,/dwc/2009-02-20/terms/guides/text/index.htm
1,/dpsveb.txt
1,/cyydpv.txt
1,/cvhufs.txt
1,/?C=N;O=A
1,/?C=D;O=A
1,/aghmtn.txt
1,/ac/terms/variant
1,/ac/terms/subjectPart
1,/ac/terms/subjectCategoryVocabulary
1,/ac/terms/serviceExpectation
1,/ac/terms/reviewerLiteral
1,/ac/terms/resourceCreationTechnique
1,/ac/terms/relatedResourceID
1,/ac/terms/providerManagedID
1,/ac/terms/providerID
1,/ac/terms/physicalSetting
1,/ac/terms/metadataProviderLiteral
1,/ac/terms/metadataLanguage
1,/ac/terms/licensingException
1,/ac/terms/IDofContainingCollection
1,/ac/terms/hasServiceAccessPoint
1,/ac/terms/furtherInformationUR
1,/ac/terms/digitizationDate
1,/ac/terms/derivedFrom
1,/ac/terms/attributionLinkURL
1,/ac/terms/associatedSpecimenReference
1,/abcd-efg/terms/ModeOfTransport
1,/abcd-efg/terms/MineralMeasurementOrFact
1,/abcd-efg/terms/LithologyHostRock-MineralRockGroup-MineralRockClassification
1,/abcd-efg/terms/LithologyHostRock-Certainty
1,/abcd-efg/terms/IdentificationAnalysisAtomised-Representation
1,/abcd-efg/terms/IdentificationAnalysisAtomised-Organisation
1,/abcd-efg/terms/IdentificationAnalysisAtomised-FullName
1,/abcd-efg/terms/IdentificationAnalysisAtomised-AppliesTo
1,/abcd-efg/terms/HostRockStratigraphy-Supergroup
1,/abcd-efg/terms/HostRockStratigraphy-RadiometricDate-Organisation
1,/abcd-efg/terms/HostRockStratigraphy-MagnetostratigraphicDetermination-InheritedName
1,/abcd-efg/terms/HostRockStratigraphy-MagnetostratigraphicDetermination-GivenNames
1,/abcd-efg/terms/HostRockStratigraphy-MagnetostratigraphicDetermination-ExactDate
1,/abcd-efg/terms/HostRockStratigraphy-MagnetostratigraphicDetermination-CitationDetail
1,/abcd-efg/terms/HostRockStratigraphy-LithostratigraphicAttribution-Representation-@language
1,/abcd-efg/terms/HostRockStratigraphy-LithostratigraphicAttribution-Prefix
1,/abcd-efg/terms/HostRockStratigraphy-LithostratigraphicAttribution-Certainty
1,/abcd-efg/terms/HostRockStratigraphy-LithostratigraphicAttribution-Accuracy
1,/abcd-efg/terms/HostRockStratigraphy-IsotopeStratigraphicDetermination-OrgUnits
1,/abcd-efg/terms/HostRockStratigraphy-IsotopeStratigraphicDetermination-DayNumberEnd
1,/abcd-efg/terms/HostRockStratigraphy-IsotopeStratigraphicDetermination-DatingQualifier
1,/abcd-efg/terms/HostRockStratigraphy-ChronostratigraphicAttribution-UpperValue
1,/abcd-efg/terms/HostRockStratigraphy-ChronostratigraphicAttribution-Method-@language
1,/abcd-efg/terms/HostRockStratigraphy-BiostratigraphicAttributions
1,/abcd-efg/terms/HostRockStratigraphy-BiostratigraphicAttribution-Representation
1,/abcd-efg/terms/HostRockStratigraphy-BiostratigraphicAttribution-Prefix
1,/abcd-efg/terms/HostRockStratigraphy-BiostratigraphicAttribution-OrgUnits
1,/abcd-efg/terms/HostRockStratigraphy-BiostratigraphicAttribution-MeasurementOrFactText
1,/abcd-efg/terms/HostRockStratigraphy-BiostratigraphicAttribution-MeasurementDateTime
1,/abcd-efg/terms/HostRockStratigraphy-BiostratigraphicAttribution-GivenNames
1,/abcd-efg/terms/HostRockStratigraphy-BiostratigraphicAttribution-DatingQualifier
1,/abcd-efg/terms/HostRockStratigraphy-BiostratigraphicAttribution-AppliesTo-@language
1,/abcd-efg/terms/HoleDirection
1,/abcd-efg/terms/CrystalMeasurement
1,/abcd-efg/terms/Articulation
1,/abcd-efg/terms/AnalysisReferences-CitationDetail
1,/abcd-efg/terms/AnalysisReferences
1,/abcd-efg/terms/AnalysisDateTime-ExactDate-DateText
1,/abcd-efg/terms/AnalysisDateTime-DateText
1,/abcd-efg/terms/AnalysisDateTime
1,/abcd-efg/terms/AlterationType
1,/abcd/dev/rddl-2006-11-15.html
1,/abcd/dev
1,/abcd2/terms/ZoologicalUnit-PhaseOrStage
1,/abcd2/terms/ZoologicalUnit
1,/abcd2/terms/UnitReferences
1,/abcd2/terms/Unit-Owner-Person
1,/abcd2/terms/Unit-Owner-Device
1,/abcd2/terms/Unit-Owner-AtomisedName-Suffix
1,/abcd2/terms/Unit-Owner-AtomisedName-Prefix
1,/abcd2/terms/Unit-Owner-AtomisedName
1,/abcd2/terms/Unit-MeasurementOrFact-Method-@language
1,/abcd2/terms/Unit-License
1,/abcd2/terms/UnitExtension
1,/abcd2/terms/UnitContentContact-AtomisedName
1,/abcd2/terms/Unit-Citation
1,/abcd2/terms/UnitAssemblage
1,/abcd2/terms/TaxonIdentified-Zoological-SubspeciesEpithet
1,/abcd2/terms/TaxonIdentified-ParentheticalAuthorTeamAndYear
1,/abcd2/terms/TaxonIdentified-HybridFlag
1,/abcd2/terms/TaxonIdentified-FullScientificNameString
1,/abcd2/terms/TaxonIdentified-FirstEpithet
1,/abcd2/terms/TaxonIdentified-CultivarName
1,/abcd2/terms/Synecology-NameComments
1,/abcd2/terms/Synecology-Comment
1,/abcd2/terms/SpecimenUnit-TypifiedName-Zoological-SubspeciesEpithet
1,/abcd2/terms/SpecimenUnit-TypifiedName-Zoological-Subgenus
1,/abcd2/terms/SpecimenUnit-Owner
1,/abcd2/terms/SpecimenUnit-LoanRestrictions
1,/abcd2/terms/SpecimenUnit-Disposition
1,/abcd2/terms/SpecimenUnit-AcquiredFrom-URIs
1,/abcd2/terms/SpecimenUnit-AcquiredFrom-Person
1,/abcd2/terms/SpecimenUnit-AcquiredFrom-AtomisedName
1,/abcd2/terms/SpecimenUnit-AcquiredFrom-Addresses
1,/abcd2/terms/SpecimenUnit-AcquiredFrom-Address
1,/abcd2/terms/SpecimenUnit-AcquiredFrom
1,/abcd2/terms/SourceReference-ReferenceGUID
1,/abcd2/terms/SequencingAgent-FullName
1,/abcd2/terms/SequencingAgent-Address
1,/abcd2/terms/Sequence
1,/abcd2/terms/RecordURI
1,/abcd2/terms/RecordBasis
1,/abcd2/terms/PlantGeneticResourcesUnit-AncestralData
1,/abcd2/terms/PlantGeneticResourcesUnit-AccessionNames
1,/abcd2/terms/PalaeontologicalUnit-Taphonomy-@language
1,/abcd2/terms/PalaeontologicalUnit-Mineralisation
1,/abcd2/terms/PalaeontologicalUnit-Matrix
1,/abcd2/terms/PalaeontologicalUnit-Completeness
1,/abcd2/terms/PalaeontologicalUnit
1,/abcd2/terms/ObservationUnitIdentifiers
1,/abcd2/terms/ObservationUnitIdentifier
1,/abcd2/terms/NamedCollectionsOrSurveys
1,/abcd2/terms/NamedCollectionOrSurvey
1,/abcd2/terms/MycologicalLiveStage
1,/abcd2/terms/MultiMediaObject-License-URI
1,/abcd2/terms/MultiMediaObject-IPRDeclaration-@language
1,/abcd2/terms/Identification-VerificationLevel
1,/abcd2/terms/IdentificationSource-URI
1,/abcd2/terms/Identifications
1,/abcd2/terms/Identification-PreferredFlag
1,/abcd2/terms/Identification-MaterialIdentified-@language
1,/abcd2/terms/IdentificationHistory
1,/abcd2/terms/HerbariumUnit-LoanDestination
1,/abcd2/terms/HerbariumUnit-LoanDate
1,/abcd2/terms/HerbariumUnit-CultivatedOccurrence
1,/abcd2/terms/Gathering-SpatialDatum
1,/abcd2/terms/Gathering-SiteImage-Copyright-Text
1,/abcd2/terms/Gathering-Project-Contact-Role
1,/abcd2/terms/Gathering-Depth-Parameter-@language
1,/abcd2/terms/Gathering-Country-Name
